#  Table WFC3.IR.G141.1st.sens.2.fits[1]  Tue 03:23:23 11-Jan-2011

# row      WAVELENGTH     SENSITIVITY           ERROR
#                                                    

  260          10209.     6.801084E13     3.859258E13
  261          10210.     6.839820E13     3.852901E13
  262          10211.     6.879119E13     3.846538E13
  263          10212.     6.918983E13     3.840162E13
  264          10213.     6.959410E13     3.833767E13
  265          10214.     7.000402E13     3.827345E13
  266          10215.     7.041958E13     3.820889E13
  267          10216.     7.084077E13     3.814393E13
  268          10217.     7.126762E13     3.807850E13
  269          10218.     7.170009E13     3.801251E13
  270          10219.     7.213820E13     3.794591E13
  271          10220.     7.258197E13     3.787862E13
  272          10221.     7.303137E13     3.781058E13
  273          10222.     7.348640E13     3.774170E13
  274          10223.     7.394707E13     3.767193E13
  275          10224.     7.441340E13     3.760120E13
  276          10225.     7.488536E13     3.752942E13
  277          10226.     7.536297E13     3.745655E13
  278          10227.     7.584620E13     3.738249E13
  279          10228.     7.633508E13     3.730718E13
  280          10229.     7.682961E13     3.723056E13
  281          10230.     7.732978E13     3.715255E13
  282          10231.     7.783558E13     3.707308E13
  283          10232.     7.834702E13     3.699208E13
  284          10233.     7.886411E13     3.690949E13
  285          10234.     7.938682E13     3.682522E13
  286          10235.     7.991518E13     3.673922E13
  287          10236.     8.044919E13     3.665141E13
  288          10237.     8.098883E13     3.656172E13
  289          10238.     8.153412E13     3.647009E13
  290          10239.     8.208505E13     3.637643E13
  291          10240.     8.262979E13     3.628710E13
  292          10241.     8.316759E13     3.620210E13
  293          10242.     8.371003E13     3.611494E13
  294          10243.     8.425711E13     3.602557E13
  295          10244.     8.480882E13     3.593394E13
  296          10245.     8.536516E13     3.584000E13
  297          10246.     8.592614E13     3.574368E13
  298          10247.     8.649173E13     3.564494E13
  299          10248.     8.706198E13     3.554373E13
  300          10249.     8.763686E13     3.543998E13
  301          10250.     8.821637E13     3.533365E13
  302          10251.     8.880052E13     3.522468E13
  303          10252.     8.938928E13     3.511302E13
  304          10253.     8.998272E13     3.499862E13
  305          10254.     9.058075E13     3.488141E13
  306          10255.     9.118344E13     3.476136E13
  307          10256.     9.179076E13     3.463840E13
  308          10257.     9.240271E13     3.451247E13
  309          10258.     9.301929E13     3.438354E13
  310          10259.     9.364051E13     3.425154E13
  311          10260.     9.426636E13     3.411641E13
  312          10261.     9.489685E13     3.397811E13
  313          10262.     9.553197E13     3.383658E13
  314          10263.     9.617172E13     3.369177E13
  315          10264.     9.681611E13     3.354363E13
  316          10265.     9.746514E13     3.339210E13
  317          10266.     9.811879E13     3.323712E13
  318          10267.     9.877708E13     3.307864E13
  319          10268.     9.944002E13     3.291662E13
  320          10269.     1.001076E14     3.275099E13
  321          10270.     1.007798E14     3.258170E13
  322          10271.     1.014566E14     3.240870E13
  323          10272.     1.021381E14     3.223194E13
  324          10273.     1.028242E14     3.205136E13
  325          10274.     1.035149E14     3.186690E13
  326          10275.     1.042102E14     3.167852E13
  327          10276.     1.049102E14     3.148616E13
  328          10277.     1.056149E14     3.128976E13
  329          10278.     1.063241E14     3.108928E13
  330          10279.     1.070380E14     3.088465E13
  331          10280.     1.077566E14     3.067584E13
  332          10281.     1.084797E14     3.046277E13
  333          10282.     1.092075E14     3.024540E13
  334          10283.     1.099400E14     3.002368E13
  335          10284.     1.106771E14     2.979754E13
  336          10285.     1.114188E14     2.956694E13
  337          10286.     1.121651E14     2.933182E13
  338          10287.     1.128261E14     2.936606E13
  339          10288.     1.134879E14     2.939888E13
  340          10289.     1.141506E14     2.943030E13
  341          10290.     1.148141E14     2.946031E13
  342          10291.     1.154785E14     2.948890E13
  343          10292.     1.161437E14     2.951607E13
  344          10293.     1.168098E14     2.954182E13
  345          10294.     1.174767E14     2.956615E13
  346          10295.     1.181445E14     2.958905E13
  347          10296.     1.188131E14     2.961053E13
  348          10297.     1.194825E14     2.963057E13
  349          10298.     1.201528E14     2.964917E13
  350          10299.     1.208239E14     2.966633E13
  351          10300.     1.214959E14     2.968205E13
  352          10301.     1.221687E14     2.969632E13
  353          10302.     1.228424E14     2.970915E13
  354          10303.     1.235169E14     2.972052E13
  355          10304.     1.241923E14     2.973044E13
  356          10305.     1.248685E14     2.973890E13
  357          10306.     1.255455E14     2.974590E13
  358          10307.     1.262234E14     2.975143E13
  359          10308.     1.269022E14     2.975550E13
  360          10309.     1.275818E14     2.975810E13
  361          10310.     1.282622E14     2.975922E13
  362          10311.     1.289435E14     2.975887E13
  363          10312.     1.296256E14     2.975703E13
  364          10313.     1.303086E14     2.975371E13
  365          10314.     1.309924E14     2.974891E13
  366          10315.     1.316771E14     2.974261E13
  367          10316.     1.323626E14     2.973483E13
  368          10317.     1.330489E14     2.972555E13
  369          10318.     1.337361E14     2.971477E13
  370          10319.     1.344242E14     2.970248E13
  371          10320.     1.351130E14     2.968870E13
  372          10321.     1.358028E14     2.967340E13
  373          10322.     1.364934E14     2.965660E13
  374          10323.     1.371848E14     2.963828E13
  375          10324.     1.378770E14     2.961843E13
  376          10325.     1.385702E14     2.959707E13
  377          10326.     1.392641E14     2.957419E13
  378          10327.     1.399589E14     2.954979E13
  379          10328.     1.406546E14     2.952385E13
  380          10329.     1.413511E14     2.949637E13
  381          10330.     1.420484E14     2.946737E13
  382          10331.     1.427466E14     2.943682E13
  383          10332.     1.434456E14     2.940473E13
  384          10333.     1.441234E14     2.944314E13
  385          10334.     1.447784E14     2.955289E13
  386          10335.     1.454323E14     2.966220E13
  387          10336.     1.460853E14     2.977109E13
  388          10337.     1.467372E14     2.987955E13
  389          10338.     1.473880E14     2.998758E13
  390          10339.     1.480378E14     3.009519E13
  391          10340.     1.486866E14     3.020236E13
  392          10341.     1.493343E14     3.030911E13
  393          10342.     1.499810E14     3.041543E13
  394          10343.     1.506267E14     3.052133E13
  395          10344.     1.512713E14     3.062680E13
  396          10345.     1.519149E14     3.073185E13
  397          10346.     1.525574E14     3.083647E13
  398          10347.     1.531989E14     3.094067E13
  399          10348.     1.538393E14     3.104444E13
  400          10349.     1.544787E14     3.114780E13
  401          10350.     1.551171E14     3.125073E13
  402          10351.     1.557544E14     3.135324E13
  403          10352.     1.563907E14     3.145533E13
  404          10353.     1.570260E14     3.155700E13
  405          10354.     1.576602E14     3.165825E13
  406          10355.     1.582934E14     3.175907E13
  407          10356.     1.589255E14     3.185949E13
  408          10357.     1.595566E14     3.195948E13
  409          10358.     1.601867E14     3.205905E13
  410          10359.     1.608157E14     3.215821E13
  411          10360.     1.614437E14     3.225695E13
  412          10361.     1.620706E14     3.235527E13
  413          10362.     1.626965E14     3.245318E13
  414          10363.     1.633213E14     3.255067E13
  415          10364.     1.639452E14     3.264775E13
  416          10365.     1.645679E14     3.274441E13
  417          10366.     1.651897E14     3.284066E13
  418          10367.     1.658104E14     3.293650E13
  419          10368.     1.664300E14     3.303192E13
  420          10369.     1.670486E14     3.312693E13
  421          10370.     1.676662E14     3.322153E13
  422          10371.     1.682828E14     3.331572E13
  423          10372.     1.688982E14     3.340949E13
  424          10373.     1.695127E14     3.350286E13
  425          10374.     1.701261E14     3.359582E13
  426          10375.     1.707385E14     3.368837E13
  427          10376.     1.713498E14     3.378051E13
  428          10377.     1.719602E14     3.387224E13
  429          10378.     1.725694E14     3.396357E13
  430          10379.     1.731776E14     3.405449E13
  431          10380.     1.738953E14     3.404391E13
  432          10381.     1.746166E14     3.403277E13
  433          10382.     1.753414E14     3.402109E13
  434          10383.     1.760699E14     3.400883E13
  435          10384.     1.768020E14     3.399600E13
  436          10385.     1.775378E14     3.398258E13
  437          10386.     1.782771E14     3.396857E13
  438          10387.     1.790200E14     3.395395E13
  439          10388.     1.797666E14     3.393872E13
  440          10389.     1.805168E14     3.392287E13
  441          10390.     1.812705E14     3.390638E13
  442          10391.     1.820279E14     3.388925E13
  443          10392.     1.827889E14     3.387146E13
  444          10393.     1.835535E14     3.385302E13
  445          10394.     1.843218E14     3.383390E13
  446          10395.     1.850936E14     3.381411E13
  447          10396.     1.858691E14     3.379362E13
  448          10397.     1.866481E14     3.377243E13
  449          10398.     1.874308E14     3.375053E13
  450          10399.     1.882171E14     3.372793E13
  451          10400.     1.890070E14     3.370458E13
  452          10401.     1.898005E14     3.368050E13
  453          10402.     1.905976E14     3.365568E13
  454          10403.     1.913984E14     3.363010E13
  455          10404.     1.922027E14     3.360375E13
  456          10405.     1.930107E14     3.357663E13
  457          10406.     1.938222E14     3.354872E13
  458          10407.     1.946374E14     3.352002E13
  459          10408.     1.954562E14     3.349051E13
  460          10409.     1.962786E14     3.346020E13
  461          10410.     1.971046E14     3.342906E13
  462          10411.     1.979343E14     3.339709E13
  463          10412.     1.987675E14     3.336427E13
  464          10413.     1.996044E14     3.333061E13
  465          10414.     2.004448E14     3.329609E13
  466          10415.     2.012889E14     3.326070E13
  467          10416.     2.021366E14     3.322442E13
  468          10417.     2.029879E14     3.318727E13
  469          10418.     2.038428E14     3.314920E13
  470          10419.     2.047013E14     3.311024E13
  471          10420.     2.055635E14     3.307036E13
  472          10421.     2.064292E14     3.302955E13
  473          10422.     2.072986E14     3.298780E13
  474          10423.     2.081716E14     3.294512E13
  475          10424.     2.090482E14     3.290147E13
  476          10425.     2.099284E14     3.285686E13
  477          10426.     2.109683E14     3.285043E13
  478          10427.     2.121778E14     3.288354E13
  479          10428.     2.134043E14     3.291750E13
  480          10429.     2.146477E14     3.295225E13
  481          10430.     2.159079E14     3.298776E13
  482          10431.     2.171851E14     3.302400E13
  483          10432.     2.184791E14     3.306092E13
  484          10433.     2.197900E14     3.309850E13
  485          10434.     2.211179E14     3.313670E13
  486          10435.     2.224626E14     3.317547E13
  487          10436.     2.238242E14     3.321477E13
  488          10437.     2.252028E14     3.325459E13
  489          10438.     2.265982E14     3.329486E13
  490          10439.     2.280105E14     3.333557E13
  491          10440.     2.294397E14     3.337666E13
  492          10441.     2.308858E14     3.341812E13
  493          10442.     2.323489E14     3.345988E13
  494          10443.     2.338288E14     3.350193E13
  495          10444.     2.353256E14     3.354422E13
  496          10445.     2.368392E14     3.358672E13
  497          10446.     2.383698E14     3.362939E13
  498          10447.     2.399173E14     3.367218E13
